task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_value,resp_corr,resp_rt,task_time
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,1,right,1,0.3166040550160687,294.7354714880057
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,right,1,0.7424636699899565,297.2782509009994
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,1,right,1,0.10746088500600304,299.18602690901025
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,right,0,0.514607211999828,301.50095254599
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,right,0,0.293564944982063,303.5948379809852
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.39060723501024763,305.7857732429984
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,1,right,0,0.27235547699383456,307.8584502459853
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,right,0,0.2988044500118121,309.95758494600886
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,right,0,right,1,0.28630164698115546,312.04425993098994
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,shape,left,0,right,0,0.5685065030003897,314.4130828579946
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,1,right,0,0.17759370299172583,316.3909967879881
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.24090749000897627,318.43223992799176
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,right,0,right,1,0.44917718899087045,320.68173829399166
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shift,color,left,0,right,0,0.694760484987637,323.17681687299046
